Indice,X1,X2,X3,X4,X5,X6,X7,X8,X9,X10,X11,X12,Range,Y,Marca,Modelo,Ano-modelo
162,131610.0,131178.0,132877.0,134420.0,136132.0,131447.0,131425.0,131366.0,131305.0,131210.0,130220.0,131168.5,Mês 2 - Mês 13,130778.90909090907,Audi,Q3 2.0 TFSI Quat. 170/180cv S-tronic 5p,2015.0
163,131178.0,132877.0,134420.0,136132.0,131447.0,131425.0,131366.0,131305.0,131210.0,130220.0,131168.5,130778.90909090907,Mês 3 - Mês 14,130272.85606060606,Audi,Q3 2.0 TFSI Quat. 170/180cv S-tronic 5p,2015.0
164,132877.0,134420.0,136132.0,131447.0,131425.0,131366.0,131305.0,131210.0,130220.0,131168.5,130778.90909090907,130272.85606060606,Mês 4 - Mês 15,129544.25918273648,Audi,Q3 2.0 TFSI Quat. 170/180cv S-tronic 5p,2015.0
165,134420.0,136132.0,131447.0,131425.0,131366.0,131305.0,131210.0,130220.0,131168.5,130778.90909090907,130272.85606060606,129544.25918273648,Mês 5 - Mês 16,128974.33352464034,Audi,Q3 2.0 TFSI Quat. 170/180cv S-tronic 5p,2015.0
166,136132.0,131447.0,131425.0,131366.0,131305.0,131210.0,130220.0,131168.5,130778.90909090907,130272.85606060606,129544.25918273648,128974.33352464034,Mês 6 - Mês 17,128693.2238964484,Audi,Q3 2.0 TFSI Quat. 170/180cv S-tronic 5p,2015.0
167,131447.0,131425.0,131366.0,131305.0,131210.0,130220.0,131168.5,130778.90909090907,130272.85606060606,129544.25918273648,128974.33352464034,128693.2238964484,Mês 7 - Mês 18,128929.09286834528,Audi,Q3 2.0 TFSI Quat. 170/180cv S-tronic 5p,2015.0
168,131425.0,131366.0,131305.0,131210.0,130220.0,131168.5,130778.90909090907,130272.85606060606,129544.25918273648,128974.33352464034,128693.2238964484,128929.09286834528,Mês 8 - Mês 19,128587.92313861151,Audi,Q3 2.0 TFSI Quat. 170/180cv S-tronic 5p,2015.0
169,131366.0,131305.0,131210.0,130220.0,131168.5,130778.90909090907,130272.85606060606,129544.25918273648,128974.33352464034,128693.2238964484,128929.09286834528,128587.92313861151,Mês 9 - Mês 20,128242.8138231327,Audi,Q3 2.0 TFSI Quat. 170/180cv S-tronic 5p,2015.0
170,131305.0,131210.0,130220.0,131168.5,130778.90909090907,130272.85606060606,129544.25918273648,128974.33352464034,128693.2238964484,128929.09286834528,128587.92313861151,128242.8138231327,Mês 10 - Mês 21,127899.11095679978,Audi,Q3 2.0 TFSI Quat. 170/180cv S-tronic 5p,2015.0
171,131210.0,130220.0,131168.5,130778.90909090907,130272.85606060606,129544.25918273648,128974.33352464034,128693.2238964484,128929.09286834528,128587.92313861151,128242.8138231327,127899.11095679978,Mês 11 - Mês 22,127569.8640824559,Audi,Q3 2.0 TFSI Quat. 170/180cv S-tronic 5p,2015.0
172,130220.0,131168.5,130778.90909090907,130272.85606060606,129544.25918273648,128974.33352464034,128693.2238964484,128929.09286834528,128587.92313861151,128242.8138231327,127899.11095679978,127569.8640824559,Mês 12 - Mês 23,127265.5298731732,Audi,Q3 2.0 TFSI Quat. 170/180cv S-tronic 5p,2015.0
185,138049.0,138299.0,137138.0,140386.0,140855.0,140664.0,140620.0,140266.0,140550.0,142336.0,143525.0,141640.0,Mês 1 - Mês 12,143131.80303030304,Audi,Q3 2.0 TFSI Quat. 170/180cv S-tronic 5p,2016.0
186,138299.0,137138.0,140386.0,140855.0,140664.0,140620.0,140266.0,140550.0,142336.0,143525.0,141640.0,143131.80303030304,Mês 2 - Mês 13,143565.1616161616,Audi,Q3 2.0 TFSI Quat. 170/180cv S-tronic 5p,2016.0
187,137138.0,140386.0,140855.0,140664.0,140620.0,140266.0,140550.0,142336.0,143525.0,141640.0,143131.80303030304,143565.1616161616,Mês 3 - Mês 14,143964.96686562593,Audi,Q3 2.0 TFSI Quat. 170/180cv S-tronic 5p,2016.0
188,140386.0,140855.0,140664.0,140620.0,140266.0,140550.0,142336.0,143525.0,141640.0,143131.80303030304,143565.1616161616,143964.96686562593,Mês 4 - Mês 15,144012.39682175286,Audi,Q3 2.0 TFSI Quat. 170/180cv S-tronic 5p,2016.0
189,140855.0,140664.0,140620.0,140266.0,140550.0,142336.0,143525.0,141640.0,143131.80303030304,143565.1616161616,143964.96686562593,144012.39682175286,Mês 5 - Mês 16,144454.28978451484,Audi,Q3 2.0 TFSI Quat. 170/180cv S-tronic 5p,2016.0
