Valores reais,Valores preditos,Erros relativos,Meses,Marca,Modelo,Ano-modelo
90.558,84.8889,0.0626018684158219,Mes 13,Hyundai,ix35 GLS 2.0 16V 2WD Flex Aut.,2016
101.884,94.1418,0.07599034195752029,Mes 13,Hyundai,ix35 GLS 2.0 16V 2WD Flex Aut.,2017
100.522,107.919,0.07358588169753875,Mes 13,Hyundai,ix35 GLS 2.0 16V 2WD Flex Aut.,2018
99.061,99.2286,0.0016918868172135662,Mes 13,Hyundai,ix35 GLS 2.0 16V 2WD Flex Aut.,2019
81.5,76.00500000000001,0.06742331288343546,Mes 13,Hyundai,Tucson 2.0 16V Mec.,2015
88.555,79.9875,0.09674778386313601,Mes 13,Jeep,COMPASS SPORT 2.0 16V 156cv 5p,2015
78.448,74.2302,0.05376555170303892,Mes 13,Kia,SOUL 1.6/ 1.6 16V FLEX Aut.,2015
79.75,74.8845,0.0610094043887147,Mes 13,Kia,SOUL 1.6/ 1.6 16V FLEX Aut.,2016
78.588,74.48400000000001,0.052221713238662204,Mes 13,Kia,SOUL 1.6/ 1.6 16V FLEX Aut.,2017
78.366,73.16550000000001,0.06636168746650321,Mes 13,Kia,SOUL 1.6/ 1.6 16V FLEX Aut.,2018
80.137,74.4876,0.07049677427405568,Mes 13,Kia,SOUL 1.6/ 1.6 16V FLEX Aut.,2019
131.572,118.48500000000001,0.09946645182865647,Mes 13,Kia,Sportage 2.0 16V Aut.,2015
139.663,124.2441,0.11040075037769492,Mes 13,Kia,Sportage 2.0 16V Aut.,2016
160.025,141.66090000000003,0.11475769411029513,Mes 18,Kia,Sportage 2.0 16V Aut.,2017
163.697,149.3406,0.08770105744149256,Mes 13,Kia,Sportage 2.0 16V Aut.,2018
63.885,58.480199999999996,0.08460201925334589,Mes 13,Kia,Cerato 1.6 16V Flex Aut.,2015
64.258,59.737500000000004,0.07034921721808944,Mes 13,Kia,Cerato 1.6 16V Flex Aut.,2016
68.094,60.368399999999994,0.11345492994977532,Mes 13,Kia,Cerato 1.6 16V Flex Aut.,2017
68.45,63.579600000000006,0.07115266617969315,Mes 13,Kia,Cerato 1.6 16V Flex Aut.,2018
68.639,65.0547,0.05221958361864245,Mes 13,Kia,Cerato 1.6 16V Flex Aut.,2019
168.212,153.94500000000002,0.08481558985090225,Mes 13,Land Rover,Range Rover EVOQUE Pure Tech 2.0 Aut. 5p,2015
