X1,X2,X3,X4,X5,X6,X7,X8,X9,X10,X11,X12,Range,Y,Marca,Modelo,Ano-modelo
58823.341846946154,58777.108403760714,58956.099789500746,58934.88640668015,58824.400390669325,58683.49995689671,58678.856936533106,58526.62836588633,58461.019731416614,58413.24791504558,58378.74637296257,58345.68280419535,Mês 18 - Mês 29,58288.775894745835,Mitsubishi,Lancer 2.0 16V 160cv Mec.,2018.0
58777.108403760714,58956.099789500746,58934.88640668015,58824.400390669325,58683.49995689671,58678.856936533106,58526.62836588633,58461.019731416614,58413.24791504558,58378.74637296257,58345.68280419535,58288.775894745835,Mês 19 - Mês 30,58204.977391415145,Mitsubishi,Lancer 2.0 16V 160cv Mec.,2018.0
58956.099789500746,58934.88640668015,58824.400390669325,58683.49995689671,58678.856936533106,58526.62836588633,58461.019731416614,58413.24791504558,58378.74637296257,58345.68280419535,58288.775894745835,58204.977391415145,Mês 20 - Mês 31,58107.73741200461,Mitsubishi,Lancer 2.0 16V 160cv Mec.,2018.0
58934.88640668015,58824.400390669325,58683.49995689671,58678.856936533106,58526.62836588633,58461.019731416614,58413.24791504558,58378.74637296257,58345.68280419535,58288.775894745835,58204.977391415145,58107.73741200461,Mês 21 - Mês 32,58042.05793093293,Mitsubishi,Lancer 2.0 16V 160cv Mec.,2018.0
58824.400390669325,58683.49995689671,58678.856936533106,58526.62836588633,58461.019731416614,58413.24791504558,58378.74637296257,58345.68280419535,58288.775894745835,58204.977391415145,58107.73741200461,58042.05793093293,Mês 22 - Mês 33,57988.54740727676,Mitsubishi,Lancer 2.0 16V 160cv Mec.,2018.0
58683.49995689671,58678.856936533106,58526.62836588633,58461.019731416614,58413.24791504558,58378.74637296257,58345.68280419535,58288.775894745835,58204.977391415145,58107.73741200461,58042.05793093293,57988.54740727676,Mês 23 - Mês 34,57934.34672729718,Mitsubishi,Lancer 2.0 16V 160cv Mec.,2018.0
58678.856936533106,58526.62836588633,58461.019731416614,58413.24791504558,58378.74637296257,58345.68280419535,58288.775894745835,58204.977391415145,58107.73741200461,58042.05793093293,57988.54740727676,57934.34672729718,Mês 24 - Mês 35,57870.18450061775,Mitsubishi,Lancer 2.0 16V 160cv Mec.,2018.0
97726.0,97943.0,97620.0,98817.0,100104.0,98720.0,100102.0,100202.0,100415.0,100802.0,100312.0,100442.0,Mês 1 - Mês 12,101323.22727272728,Nissan,Frontier SV AT.CD 4x4 2.5 TB Diesel Mec.,2015.0
97943.0,97620.0,98817.0,100104.0,98720.0,100102.0,100202.0,100415.0,100802.0,100312.0,100442.0,101323.22727272728,Mês 2 - Mês 13,101590.80303030302,Nissan,Frontier SV AT.CD 4x4 2.5 TB Diesel Mec.,2015.0
97620.0,98817.0,100104.0,98720.0,100102.0,100202.0,100415.0,100802.0,100312.0,100442.0,101323.22727272728,101590.80303030302,Mês 3 - Mês 14,101830.09067952249,Nissan,Frontier SV AT.CD 4x4 2.5 TB Diesel Mec.,2015.0
98817.0,100104.0,98720.0,100102.0,100202.0,100415.0,100802.0,100312.0,100442.0,101323.22727272728,101590.80303030302,101830.09067952249,Mês 4 - Mês 15,101914.8164983165,Nissan,Frontier SV AT.CD 4x4 2.5 TB Diesel Mec.,2015.0
100104.0,98720.0,100102.0,100202.0,100415.0,100802.0,100312.0,100442.0,101323.22727272728,101590.80303030302,101830.09067952249,101914.8164983165,Mês 5 - Mês 16,102090.32558945748,Nissan,Frontier SV AT.CD 4x4 2.5 TB Diesel Mec.,2015.0
98720.0,100102.0,100202.0,100415.0,100802.0,100312.0,100442.0,101323.22727272728,101590.80303030302,101830.09067952249,101914.8164983165,102090.32558945748,Mês 6 - Mês 17,102456.52787014621,Nissan,Frontier SV AT.CD 4x4 2.5 TB Diesel Mec.,2015.0
100102.0,100202.0,100415.0,100802.0,100312.0,100442.0,101323.22727272728,101590.80303030302,101830.09067952249,101914.8164983165,102090.32558945748,102456.52787014621,Mês 7 - Mês 18,102560.9342933619,Nissan,Frontier SV AT.CD 4x4 2.5 TB Diesel Mec.,2015.0
100202.0,100415.0,100802.0,100312.0,100442.0,101323.22727272728,101590.80303030302,101830.09067952249,101914.8164983165,102090.32558945748,102456.52787014621,102560.9342933619,Mês 8 - Mês 19,102823.4521968853,Nissan,Frontier SV AT.CD 4x4 2.5 TB Diesel Mec.,2015.0
100415.0,100802.0,100312.0,100442.0,101323.22727272728,101590.80303030302,101830.09067952249,101914.8164983165,102090.32558945748,102456.52787014621,102560.9342933619,102823.4521968853,Mês 9 - Mês 20,103082.91844885457,Nissan,Frontier SV AT.CD 4x4 2.5 TB Diesel Mec.,2015.0
100802.0,100312.0,100442.0,101323.22727272728,101590.80303030302,101830.09067952249,101914.8164983165,102090.32558945748,102456.52787014621,102560.9342933619,102823.4521968853,103082.91844885457,Mês 10 - Mês 21,103354.89835162183,Nissan,Frontier SV AT.CD 4x4 2.5 TB Diesel Mec.,2015.0
100312.0,100442.0,101323.22727272728,101590.80303030302,101830.09067952249,101914.8164983165,102090.32558945748,102456.52787014621,102560.9342933619,102823.4521968853,103082.91844885457,103354.89835162183,Mês 11 - Mês 22,103678.36011066662,Nissan,Frontier SV AT.CD 4x4 2.5 TB Diesel Mec.,2015.0
100442.0,101323.22727272728,101590.80303030302,101830.09067952249,101914.8164983165,102090.32558945748,102456.52787014621,102560.9342933619,102823.4521968853,103082.91844885457,103354.89835162183,103678.36011066662,Mês 12 - Mês 23,103889.66222795566,Nissan,Frontier SV AT.CD 4x4 2.5 TB Diesel Mec.,2015.0
