Indice,Valores reais,Valores preditos,Erros relativos,Meses,Marca,Modelo,Ano-modelo
104,123033.0,131734.06530163612,0.07072139427337476,Mês 23,Audi,RS Q3 2.5 TFSI Quattro S-tronic 5p,2015.0
105,123869.0,131777.7374101058,0.06384759229594002,Mês 24,Audi,RS Q3 2.5 TFSI Quattro S-tronic 5p,2015.0
106,120907.0,131907.54886094795,0.09098355646032033,Mês 25,Audi,RS Q3 2.5 TFSI Quattro S-tronic 5p,2015.0
107,118963.0,131894.01126602694,0.10869775700030208,Mês 26,Audi,RS Q3 2.5 TFSI Quattro S-tronic 5p,2015.0
108,117588.0,131876.42887152918,0.12151264475566535,Mês 27,Audi,RS Q3 2.5 TFSI Quattro S-tronic 5p,2015.0
109,118382.0,131853.94377748994,0.11380060969986942,Mês 28,Audi,RS Q3 2.5 TFSI Quattro S-tronic 5p,2015.0
110,116137.0,131822.86096728078,0.13506342481104885,Mês 29,Audi,RS Q3 2.5 TFSI Quattro S-tronic 5p,2015.0
111,114386.0,131793.7022458042,0.1521838533194988,Mês 30,Audi,RS Q3 2.5 TFSI Quattro S-tronic 5p,2015.0
112,111686.0,131777.71942514202,0.17989469965028754,Mês 31,Audi,RS Q3 2.5 TFSI Quattro S-tronic 5p,2015.0
113,110188.0,131789.19986877366,0.19603949494294898,Mês 32,Audi,RS Q3 2.5 TFSI Quattro S-tronic 5p,2015.0
114,109584.0,131800.2970570026,0.2027330363648216,Mês 33,Audi,RS Q3 2.5 TFSI Quattro S-tronic 5p,2015.0
115,109679.0,131810.7146108477,0.2017862545322961,Mês 34,Audi,RS Q3 2.5 TFSI Quattro S-tronic 5p,2015.0
116,107697.0,131819.85247188224,0.22398815632638092,Mês 35,Audi,RS Q3 2.5 TFSI Quattro S-tronic 5p,2015.0
117,107241.0,131827.0014027361,0.2292593448656399,Mês 36,Audi,RS Q3 2.5 TFSI Quattro S-tronic 5p,2015.0
118,139663.0,140360.66666666666,0.004995357873356988,Mês 13,Audi,RS Q3 2.5 TFSI Quattro S-tronic 5p,2016.0
119,139555.0,140553.30555555556,0.00715349185307271,Mês 14,Audi,RS Q3 2.5 TFSI Quattro S-tronic 5p,2016.0
120,137357.0,140741.16435185185,0.02463772761382277,Mês 15,Audi,RS Q3 2.5 TFSI Quattro S-tronic 5p,2016.0
121,139279.0,141041.4280478395,0.012653939559011007,Mês 16,Audi,RS Q3 2.5 TFSI Quattro S-tronic 5p,2016.0
122,138262.0,141096.04705182614,0.020497656997773377,Mês 17,Audi,RS Q3 2.5 TFSI Quattro S-tronic 5p,2016.0
123,137613.0,141116.134306145,0.02545641985964253,Mês 18,Audi,RS Q3 2.5 TFSI Quattro S-tronic 5p,2016.0
124,136724.0,141153.8121649904,0.03239966768811917,Mês 19,Audi,RS Q3 2.5 TFSI Quattro S-tronic 5p,2016.0
125,138534.0,141198.29651207294,0.019232076689281584,Mês 20,Audi,RS Q3 2.5 TFSI Quattro S-tronic 5p,2016.0
126,137962.0,141275.987888079,0.024021019469701737,Mês 21,Audi,RS Q3 2.5 TFSI Quattro S-tronic 5p,2016.0
127,137156.0,141336.48687875224,0.030479795843800072,Mês 22,Audi,RS Q3 2.5 TFSI Quattro S-tronic 5p,2016.0
128,134508.0,141253.19411864827,0.050147159415412264,Mês 23,Audi,RS Q3 2.5 TFSI Quattro S-tronic 5p,2016.0
129,132048.0,141063.87696186895,0.06827727009775957,Mês 24,Audi,RS Q3 2.5 TFSI Quattro S-tronic 5p,2016.0
130,129575.0,141015.86670869138,0.08829532478249182,Mês 25,Audi,RS Q3 2.5 TFSI Quattro S-tronic 5p,2016.0
131,130470.0,141070.46671219345,0.08124830775039049,Mês 26,Audi,RS Q3 2.5 TFSI Quattro S-tronic 5p,2016.0
132,131496.0,141113.5634752466,0.07313958960916377,Mês 27,Audi,RS Q3 2.5 TFSI Quattro S-tronic 5p,2016.0
133,133305.0,141144.59673552949,0.058809472529383636,Mês 28,Audi,RS Q3 2.5 TFSI Quattro S-tronic 5p,2016.0
134,132021.0,141153.19412617033,0.06917228415305393,Mês 29,Audi,RS Q3 2.5 TFSI Quattro S-tronic 5p,2016.0
135,133847.0,141157.95638236566,0.05462174260435919,Mês 30,Audi,RS Q3 2.5 TFSI Quattro S-tronic 5p,2016.0
136,133601.0,141161.44155538405,0.05658970782691785,Mês 31,Audi,RS Q3 2.5 TFSI Quattro S-tronic 5p,2016.0
137,131099.0,141162.07733791685,0.0767593752653861,Mês 32,Audi,RS Q3 2.5 TFSI Quattro S-tronic 5p,2016.0
138,129812.0,141159.05907340386,0.0874114802437668,Mês 33,Audi,RS Q3 2.5 TFSI Quattro S-tronic 5p,2016.0
139,127450.0,141149.31500551425,0.10748775994911139,Mês 34,Audi,RS Q3 2.5 TFSI Quattro S-tronic 5p,2016.0
140,125069.0,141133.7173494111,0.1284468361417386,Mês 35,Audi,RS Q3 2.5 TFSI Quattro S-tronic 5p,2016.0
141,125084.0,141123.76095197466,0.12823191576840093,Mês 36,Audi,RS Q3 2.5 TFSI Quattro S-tronic 5p,2016.0
142,298400.0,246018.25,0.17554205764075068,Mês 18,Audi,RS Q3 2.5 TFSI Quattro S-tronic 5p,2017.0
143,302473.0,253403.0208333333,0.16222928713196447,Mês 19,Audi,RS Q3 2.5 TFSI Quattro S-tronic 5p,2017.0
144,293800.0,261758.02256944444,0.10906050861319115,Mês 20,Audi,RS Q3 2.5 TFSI Quattro S-tronic 5p,2017.0
145,291230.0,270847.60778356483,0.06998726853838948,Mês 21,Audi,RS Q3 2.5 TFSI Quattro S-tronic 5p,2017.0
146,287000.0,280695.8250988619,0.02196576620605616,Mês 22,Audi,RS Q3 2.5 TFSI Quattro S-tronic 5p,2017.0
147,285000.0,280524.9771904337,0.015701834419530842,Mês 23,Audi,RS Q3 2.5 TFSI Quattro S-tronic 5p,2017.0
148,284608.0,280020.9752896365,0.016116991477272163,Mês 24,Audi,RS Q3 2.5 TFSI Quattro S-tronic 5p,2017.0
149,278694.0,279163.6398971062,0.0016851453461725597,Mês 25,Audi,RS Q3 2.5 TFSI Quattro S-tronic 5p,2017.0
150,271707.0,277919.1932218651,0.022863574445506026,Mês 26,Audi,RS Q3 2.5 TFSI Quattro S-tronic 5p,2017.0
151,268950.0,276578.7093236872,0.02836478647959542,Mês 27,Audi,RS Q3 2.5 TFSI Quattro S-tronic 5p,2017.0
152,271707.0,275206.6017673277,0.01288005744175783,Mês 28,Audi,RS Q3 2.5 TFSI Quattro S-tronic 5p,2017.0
